Date,ETHUSDT WAVESUSDT_cum_rets,NEOUSDT ATOMUSDT_cum_rets,LTCUSDT ONTUSDT_cum_rets,LTCUSDT HOTUSDT_cum_rets,LTCUSDT IOSTUSDT_cum_rets,LTCUSDT MITHUSDT_cum_rets,QTUMUSDT IOSTUSDT_cum_rets,EOSUSDT MITHUSDT_cum_rets,XLMUSDT ZILUSDT_cum_rets,XLMUSDT MATICUSDT_cum_rets,ONTUSDT ONGUSDT_cum_rets,ONTUSDT IOSTUSDT_cum_rets,ETCUSDT ICXUSDT_cum_rets,ETCUSDT NULSUSDT_cum_rets,ETCUSDT ONGUSDT_cum_rets,ETCUSDT ZILUSDT_cum_rets,ETCUSDT IOSTUSDT_cum_rets,ICXUSDT LINKUSDT_cum_rets,NULSUSDT ONGUSDT_cum_rets,ONGUSDT IOSTUSDT_cum_rets,HOTUSDT IOSTUSDT_cum_rets,ZRXUSDT MATICUSDT_cum_rets,FETUSDT IOSTUSDT_cum_rets,BATUSDT MATICUSDT_cum_rets
2019-06-25,1.1900651611068198,1.0915532798594305,0.9154532675941276,1.0514918970394849,0.9873849079470107,0.8802551455565379,1.1286658366389524,0.6711203845499338,1.0,1.106907546808067,1.0153368058755727,1.015136060361934,0.978916808629838,0.9904593056384448,1.0510072474179386,1.0432523589341247,0.9639332862994989,1.0,1.019049616129626,1.0624287492869735,0.9331061701704081,1.1129357975686394,0.9358305566675225,1.0770775484894353
2019-06-26,1.1464708894428801,1.0945066599519857,0.9344582722263055,1.0586063958639538,0.9953153588677282,0.896991780870799,1.1221180695315582,0.6562774977498428,1.0,1.0453414588380905,1.010795648932336,1.0163629647146875,1.0125151549676077,0.9756300881528741,1.039834125708264,1.0205364346892631,0.9744027864375511,1.0,1.019049616129626,1.0812135954544728,0.967041768270246,1.0663487979879929,0.9595096633786244,1.0269894472939496
2019-06-27,1.1636065451457605,1.1156496147201065,0.9526131813686355,1.0105582231803236,0.9925754338096378,0.896991780870799,1.1688769806204942,0.6895953799575599,1.0,1.1256280621075325,0.9896430638063005,1.0285884037092217,1.0125151549676077,1.001255576745378,1.0508856062629024,1.0515051250313656,0.9618747867644849,1.0,1.019049616129626,1.1422216951254047,1.0764138680156061,1.1312304864194354,1.0582704553709266,1.0998377063208422
2019-06-28,1.1869897417425646,1.12479499871589,0.9526131813686355,1.0292433363503455,0.9804417801998845,0.896991780870799,1.1123808839360976,0.6895953799575599,1.0,1.1131075948228477,0.9933772369629191,1.0063280590987616,1.0098996540855512,1.0234321448588888,1.0568298666882179,1.0522716088670352,0.9427911825043338,1.0,1.0204355624948798,1.0993170014567588,1.0141499390747835,1.1235890024556598,0.9981596312249904,1.0886072596077419
2019-06-29,1.1788572075270711,1.140591342539006,0.9526131813686355,1.079114882204289,1.0077610532287697,0.896991780870799,1.1184790536263374,0.6895953799575599,1.0,1.2990638987673548,0.9959737564431829,0.9801263720752955,0.993760697272223,1.0234321448588888,1.0568298666882179,1.0630400849485035,0.929412468572194,1.0,1.0328450756308691,1.0617223101477062,0.9644932416482436,1.2919088057734807,0.9649268752565059,1.2403420857871152
2019-06-30,1.2016357596183496,1.140591342539006,0.9536354487231172,1.1775949380699424,1.0077610532287697,0.896991780870799,1.144341140474924,0.6686931789585464,1.0,1.3730283937687375,1.0081720611296816,1.011843676718904,1.007653650678392,1.0234321448588888,1.0568298666882179,1.0700287175394185,0.9584772021026314,1.0,1.0290099377483393,1.1327997173392401,1.0610759641169811,1.353597110941672,1.0448121846622813,1.2961448045946895
2019-07-01,1.2016357596183496,1.140591342539006,0.9515681708510552,1.2145560256510373,1.0033787426281178,0.896991780870799,1.1491317314142597,0.6954177090009225,1.0,1.3651920783610911,1.0139637561582502,1.0138823489309923,0.9936489903057615,1.0234321448588888,1.053965796167212,1.0700287175394185,0.9657188703979643,1.0,0.9929079695086954,1.1387761507767105,1.0668193142552758,1.3519046714593517,1.0570744252696296,1.3101011439312487
2019-07-02,1.201539318958254,1.1712724276504107,0.958158535083229,1.2168193186250957,1.0060229158700034,0.896991780870799,1.1491317314142597,0.6901288740730053,1.0,1.4708403958015706,0.9993036899943196,1.0225806676057376,1.001319287275195,1.0558249453229476,1.0682219861954068,1.0881303168427756,0.9779167440841339,1.0,0.9902159020449676,1.1522886272984076,1.0929788269070155,1.4391591090839064,1.0706381588141107,1.398018648890666
2019-07-03,1.181887135847935,1.1396812790453814,0.956347327839408,1.2208350764350382,1.0198748980344163,0.896991780870799,1.1491317314142597,0.6628245978940843,1.0,1.4708403958015706,0.999099959241658,0.995369283368769,1.0030226335718195,1.0176124182251072,1.0702970562730663,1.0968148629728145,0.9779167440841339,1.0,0.9654685632058626,1.1119354670633539,1.0929788269070155,1.4391591090839064,1.0238408391792841,1.398018648890666
2019-07-04,1.1749798267705032,1.1109230449834377,0.956347327839408,1.2593229135186534,1.0198748980344163,0.9016039830317766,1.1491317314142597,0.6491980266100358,1.0,1.4708403958015706,0.9853594507319361,1.0213086861070628,0.9949551523883264,1.037926708741192,1.0702970562730663,1.1084170644561226,0.9779167440841339,1.0,0.9518258149464847,1.151288619497323,1.0929788269070155,1.4391591090839064,1.0691914619642895,1.398018648890666
